  n= 1 : Nu = [0, 0, 0, 3584695, 1078661, 3037918, 3936777, 2977085, 3911118, 3095447, 173648, 3855865, 3256505]
  n= 2 : Nu = [0, 0, 0, 1676528, 2707631, 1896600, 2291682, 2294884, 881042, 2800282, 4084354, 2530870, 1234455]
  n= 3 : Nu = [0, 0, 0, 1744362, 3240968, 1429441, 2857269, 3095975, 155633, 3280531, 1011527, 3842246, 1932857]
  n= 4 : Nu = [0, 0, 0, 1411968, 1388570, 2320850, 4067167, 371394, 3797054, 743311, 693381, 3690310, 2785962]
  n= 5 : Nu = [0, 0, 0, 1861239, 1590958, 1018499, 3284897, 229409, 3068475, 258280, 2853738, 2550579, 3508540]
  n= 6 : Nu = [0, 0, 0, 4135987, 2262120, 2661402, 2053279, 2021193, 3786230, 1320139, 208329, 1180967, 3009730]
  n= 7 : Nu = [0, 0, 0, 3337421, 1491952, 201595, 1625648, 385149, 4074109, 3302799, 1782713, 3228084, 1480626]
  n= 8 : Nu = [0, 0, 0, 113553, 1586670, 4000487, 1409750, 1819125, 2107545, 2417385, 3169725, 2707251, 2784111]
  n= 9 : Nu = [0, 0, 0, 2131267, 3577321, 1926198, 3446851, 3454585, 2784404, 2027374, 2573253, 1383095, 2734991]
  n=10 : Nu = [0, 0, 0, 4117583, 250233, 689317, 3952934, 3690506, 1823665, 3576417, 2999354, 1202932, 56268]
  n=11 : Nu = [0, 0, 0, 333881, 2664581, 595697, 2422478, 4131361, 866182, 3500410, 3769155, 2081130, 920083]
  n=12 : Nu = [0, 0, 0, 3765659, 1256281, 1575727, 117404, 681956, 1776459, 246143, 3018937, 2547741, 2648145]
  n=13 : Nu = [0, 0, 0, 2046949, 2900928, 2320977, 680571, 2704963, 2360047, 2648498, 254972, 3254150, 2584718]
  n=14 : Nu = [0, 0, 0, 999935, 1598948, 3699427, 890313, 2065023, 4129892, 4098489, 2482676, 969019, 2730064]
  n=15 : Nu = [0, 0, 0, 1156457, 2352630, 326324, 3800599, 1011713, 4046515, 3429134, 747442, 1379778, 550521]
  n=16 : Nu = [0, 0, 0, 2131337, 3109946, 1853859, 431668, 3002332, 406515, 3308991, 1931786, 746924, 969227]
  n=17 : Nu = [0, 0, 0, 3191265, 296102, 2109719, 687525, 2948187, 3250482, 55260, 2613090, 2850344, 113275]
  n=18 : Nu = [0, 0, 0, 573120, 2321650, 2403502, 174644, 1894670, 3023639, 1430485, 1888348, 2663239, 1556735]
  n=19 : Nu = [0, 0, 0, 2622562, 802095, 3913695, 1530115, 1657044, 739696, 1975186, 2995558, 1213231, 1119953]
  n=20 : Nu = [0, 0, 0, 3406414, 1030590, 4171442, 1640375, 1108417, 280433, 1124527, 3229567, 1227763, 663297]
  n=21 : Nu = [0, 0, 0, 2952830, 2592908, 1308109, 2893950, 3215142, 1277458, 645121, 2187911, 2693585, 1862560]
  n=22 : Nu = [0, 0, 0, 2356315, 743496, 693523, 1096593, 994689, 255985, 2320634, 726258, 2093045, 1441573]
  n=23 : Nu = [0, 0, 0, 1554880, 3877891, 3225619, 3111622, 1202129, 747209, 1540878, 2403011, 522155, 2100229]
  n=24 : Nu = [0, 0, 0, 1052025, 1754987, 3603299, 135034, 411036, 772629, 1924083, 2097268, 318490, 2549015]
  n=25 : Nu = [0, 0, 0, 1030892, 3314535, 55547, 757162, 2478551, 2016009, 3610205, 1020051, 1842349, 1909787]
  n=26 : Nu = [0, 0, 0, 592165, 2661488, 1740535, 3525229, 269045, 3029144, 1319721, 1175539, 2032052, 3950720]
  n=27 : Nu = [0, 0, 0, 2908114, 1078500, 657478, 289282, 2524737, 3384274, 1249727, 3535999, 3865021, 2917022]
  n=28 : Nu = [0, 0, 0, 699960, 2832430, 364362, 1168060, 4130585, 888153, 3368576, 3608084, 13144, 79900]
  n=29 : Nu = [0, 0, 0, 84152, 4099064, 2601354, 3308529, 1908096, 2925407, 1674876, 698948, 1837506, 1268337]
  n=30 : Nu = [0, 0, 0, 852322, 3840097, 1383820, 121357, 1894105, 3055171, 375877, 3436372, 2006510, 253938]
  n=31 : Nu = [0, 0, 0, 391450, 2815587, 399344, 1611941, 2083267, 2687679, 2567536, 4190797, 1805798, 135692]
  n=32 : Nu = [0, 0, 0, 1186404, 1106115, 4014460, 2056160, 1371663, 2468343, 55902, 1222701, 2962246, 2737356]
  n=33 : Nu = [0, 0, 0, 2217501, 3924295, 395350, 3033697, 3173734, 1438532, 880171, 897917, 2797167, 169482]
  n=34 : Nu = [0, 0, 0, 302135, 570321, 906219, 4032403, 135540, 1165063, 3199585, 1835931, 1871284, 3005346]
  n=35 : Nu = [0, 0, 0, 776437, 997180, 1843794, 999281, 2459075, 2563691, 3767739, 2311060, 1583315, 3559148]
  n=36 : Nu = [0, 0, 0, 1421247, 1314399, 838169, 3464191, 2367570, 356680, 1597228, 135433, 1710731, 2664242]
  n=37 : Nu = [0, 0, 0, 3408533, 2600555, 391114, 1536300, 1493235, 2798190, 3135841, 633886, 3635121, 300612]
  n=38 : Nu = [0, 0, 0, 1479046, 1721201, 410461, 890980, 163642, 1066525, 1553215, 1871227, 2508695, 565126]
  n=39 : Nu = [0, 0, 0, 638868, 2349973, 2070649, 2850894, 344870, 1277401, 2893316, 1652920, 2562110, 378625]
  n=40 : Nu = [0, 0, 0, 2732630, 3465153, 1421990, 376293, 843935, 92375, 2482379, 627846, 3808131, 2533097]
  n=41 : Nu = [0, 0, 0, 1647335, 3914439, 3977833, 303419, 1750880, 4094636, 3432214, 3137856, 2866926, 2224838]
  n=42 : Nu = [0, 0, 0, 717135, 1997441, 1631815, 1322779, 1587003, 2147723, 1460115, 168370, 3631527, 3391282]
  n=43 : Nu = [0, 0, 0, 406453, 772378, 2474328, 2516599, 532144, 3933213, 2735862, 411879, 2547189, 1061907]
  n=44 : Nu = [0, 0, 0, 1323049, 1318941, 3009701, 1662915, 2836583, 1355219, 3195508, 231475, 615255, 2217245]
  n=45 : Nu = [0, 0, 0, 1764461, 3301574, 1571147, 2109755, 107233, 1381127, 3753610, 754980, 2398460, 2047475]
  n=46 : Nu = [0, 0, 0, 393189, 2755414, 3394002, 441498, 4021707, 3457231, 3867294, 703196, 465522, 590074]
  n=47 : Nu = [0, 0, 0, 4176088, 540782, 4033719, 4150610, 4002178, 2310485, 1450642, 469146, 3013057, 816059]
  n=48 : Nu = [0, 0, 0, 1246757, 3160885, 1471853, 3126691, 1172712, 2751578, 3980663, 80184, 713238, 3660186]
collected 48 values of n
coefficients identically zero for every n: t in [0, 1, 2]
