DP=2 DM=3 -- proper subsets of the 9-symbol optimum:
  A1(k),A2(k)                                    sym=4 cols=100  rows=250  rank=97   excess=153  inconsistent
  A1(k),B1(k)                                    sym=3 cols=100  rows=250  rank=97   excess=153  inconsistent
  A1(k),A2(l)                                    sym=4 cols=100  rows=250  rank=97   excess=153  inconsistent
  A2(k),B1(k)                                    sym=4 cols=100  rows=250  rank=97   excess=153  inconsistent
  A2(k),A2(l)                                    sym=4 cols=100  rows=250  rank=54   excess=196  inconsistent
  A2(l),B1(k)                                    sym=4 cols=100  rows=250  rank=97   excess=153  inconsistent
  A1(k),A2(k),B1(k)                              sym=5 cols=200  rows=350  rank=197  excess=153  inconsistent
  A1(k),A2(k),A2(l)                              sym=6 cols=200  rows=350  rank=154  excess=196  inconsistent
  A1(k),A2(l),B1(k)                              sym=5 cols=200  rows=350  rank=197  excess=153  inconsistent
  A2(k),A2(l),B1(k)                              sym=6 cols=200  rows=350  rank=154  excess=196  inconsistent
CONTROL positive (must be CONSISTENT):
  A1(k),A1(l),A2(k),B1(k),B1(l),N3               sym=9 cols=840  rows=1260 rank=561  excess=699  CONSISTENT
  A1(k),A2(k),A2(l),A3(k),B1(k),N3               sym=10 cols=840  rows=1260 rank=752  excess=508  CONSISTENT
